Ano;Mês;Irradiação
2021;Mai;6.04
2021;Mai;5.62
2021;Mai;5.8
2021;Mai;5.97
2021;Mai;5.7
2021;Jun;5.87
2021;Jun;5.83
2021;Jun;6.17
2021;Jun;6.11
2021;Jun;6.09
2021;Jun;5.74
2021;Jun;5.06
2021;Jun;4.71
2021;Jun;4.59
2021;Jun;5.64
2021;Jun;5.66
2021;Jun;5.32
2021;Jun;5.6
2021;Jun;5.85
2021;Jun;4.9
2021;Jun;3.78
2021;Jun;5.7
2021;Jun;4.96
2021;Jun;5.62
2021;Jun;5.79
2021;Jun;6.0
2021;Jun;5.77
2021;Jun;5.93
2021;Jun;6.06
2021;Jun;5.94
2021;Jun;6.0
2021;Jun;5.98
2021;Jun;5.9
2021;Jun;5.02
2021;Jun;5.84
2021;Jul;4.03
2021;Jul;5.03
2021;Jul;5.7
2021;Jul;5.79
2021;Jul;5.92
2021;Jul;5.12
2021;Jul;5.99
2021;Jul;6.13
2021;Jul;4.1
2021;Jul;5.61
2021;Jul;5.67
2021;Jul;5.8
2021;Jul;5.12
2021;Jul;5.84
2021;Jul;5.0
2021;Jul;6.03
2021;Jul;5.77
2021;Jul;5.94
2021;Jul;6.03
2021;Jul;5.46
2021;Jul;6.4
2021;Jul;6.18
2021;Jul;6.29
2021;Jul;6.15
2021;Jul;6.26
2021;Jul;6.16
2021;Jul;6.18
2021;Jul;5.17
2021;Jul;5.77
2021;Jul;5.95
2021;Jul;6.19
2021;Ago;6.36
2021;Ago;6.55
2021;Ago;6.19
2021;Ago;6.34
2021;Ago;6.51
2021;Ago;6.03
2021;Ago;6.27
2021;Ago;6.16
2021;Ago;6.11
2021;Ago;6.08
2021;Ago;6.36
2021;Ago;5.31
2021;Ago;6.35
2021;Ago;6.69
2021;Ago;6.41
2021;Ago;6.22
2021;Ago;6.54
2021;Ago;6.69
2021;Ago;6.68
2021;Ago;6.55
2021;Ago;6.52
2021;Ago;6.6
2021;Ago;5.83
2021;Ago;6.06
2021;Ago;5.85
2021;Ago;6.67
2021;Ago;6.68
2021;Ago;6.53
2021;Ago;6.11
2021;Ago;5.55
2021;Ago;6.6
2021;Set;6.59
2021;Set;6.73
2021;Set;6.67
2021;Set;6.4
2021;Set;6.39
2021;Set;6.88
2021;Set;6.71
2021;Set;6.01
2021;Set;6.97
2021;Set;6.31
2021;Set;6.47
2021;Set;6.87
2021;Set;6.01
2021;Set;6.37
2021;Set;5.81
2021;Set;6.48
2021;Set;6.74
2021;Set;6.85
2021;Set;6.86
2021;Set;6.76
2021;Set;6.87
2021;Set;6.88
2021;Set;6.79
2021;Set;6.4
2021;Set;6.56
2021;Set;6.71
2021;Set;6.07
2021;Set;6.57
2021;Set;6.53
2021;Set;6.26
2021;Out;6.63
2021;Out;6.86
2021;Out;6.39
2021;Out;6.68
2021;Out;6.56
2021;Out;6.4
2021;Out;6.79
2021;Out;6.56
2021;Out;6.51
2021;Out;6.48
2021;Out;7.17
2021;Out;6.75
2021;Out;6.84
2021;Out;6.11
2021;Out;6.58
2021;Out;6.52
2021;Out;6.82
2021;Out;6.37
2021;Out;6.77
2021;Out;6.63
2021;Out;6.72
2021;Out;6.64
2021;Out;6.58
2021;Out;6.26
2021;Out;6.76
2021;Out;7.05
2021;Out;7.08
2021;Out;7.1
2021;Out;7.05
2021;Out;5.25
2021;Out;6.03
2021;Nov;6.54
2021;Nov;6.92
2021;Nov;7.05
2021;Nov;6.94
2021;Nov;5.55
2021;Nov;6.86
2021;Nov;6.48
2021;Nov;6.72
2021;Nov;7.07
2021;Nov;6.66
2021;Nov;7.29
2021;Nov;6.85
2021;Nov;6.63
2021;Nov;6.47
2021;Nov;6.98
2021;Nov;6.92
2021;Nov;6.74
2021;Nov;6.56
2021;Nov;6.72
2021;Nov;6.52
2021;Nov;7.0
2021;Nov;6.37
2021;Nov;6.67
2021;Nov;6.72
2021;Nov;6.4
2021;Nov;5.73
2021;Nov;6.93
2021;Nov;6.78
2021;Nov;6.73
2021;Nov;6.79
2021;Dez;6.08
2021;Dez;5.97
2021;Dez;5.65
2021;Dez;5.89
2021;Dez;6.39
2021;Dez;5.52
2021;Dez;6.55
2021;Dez;6.36
2021;Dez;6.36
2021;Dez;5.93
2021;Dez;6.78
2021;Dez;6.58
2021;Dez;5.88
2021;Dez;6.14
2021;Dez;6.57
2021;Dez;6.74
2021;Dez;6.68
2021;Dez;6.39
2021;Dez;6.33
2021;Dez;6.12
2021;Dez;5.77
2021;Dez;6.35
2021;Dez;6.15
2021;Dez;5.0
2021;Dez;5.96
2021;Dez;4.08
2021;Dez;4.97
2021;Dez;6.27
2021;Dez;6.12
2021;Dez;5.05
2021;Dez;4.33
